epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,365.053,1.02273,0.98687,0.9111,0.96782,0.95451,0.97367,0.70411,0.92463,0.56541,0.88152,0.000666147,0.000666147,0.000666147
2,708.198,0.94399,0.57284,0.89094,0.9681,0.9518,0.97302,0.70485,0.91722,0.5419,0.87298,0.00120086,0.00120086,0.00120086
3,1053.87,0.90836,0.5324,0.88592,0.96885,0.95246,0.97897,0.75182,0.80707,0.48233,0.85485,0.00160358,0.00160358,0.00160358
4,1398.82,0.87257,0.49656,0.87876,0.97732,0.96453,0.9782,0.7633,0.78387,0.42844,0.8585,0.001406,0.001406,0.001406
5,1738.43,0.82766,0.45429,0.87063,0.9761,0.96088,0.98464,0.76995,0.75591,0.40028,0.85345,0.001208,0.001208,0.001208
6,2079.62,0.80204,0.43022,0.86447,0.97484,0.96714,0.98589,0.78111,0.71696,0.38417,0.84534,0.00101,0.00101,0.00101
7,2420.19,0.77825,0.40846,0.85937,0.98276,0.96378,0.98653,0.78624,0.71591,0.37598,0.84539,0.000812,0.000812,0.000812
8,2764.06,0.75577,0.38935,0.85459,0.97956,0.96658,0.98777,0.79454,0.68775,0.34865,0.83986,0.000614,0.000614,0.000614
9,3108.26,0.73219,0.36926,0.85091,0.98249,0.9638,0.98818,0.79699,0.68829,0.33553,0.84181,0.000416,0.000416,0.000416
10,3449.95,0.71466,0.35099,0.84874,0.9818,0.96702,0.98843,0.80434,0.66711,0.32365,0.83743,0.000218,0.000218,0.000218
