epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,365.423,1.00009,0.81486,0.90129,0.96839,0.9609,0.98227,0.72924,0.85799,0.50926,0.86092,0.000666147,0.000666147,0.000666147
2,709.234,0.9394,0.56223,0.88613,0.97024,0.95146,0.98298,0.75472,0.80619,0.47436,0.85779,0.00126684,0.00126684,0.00126684
3,1053.6,0.90296,0.53278,0.88156,0.96633,0.96444,0.98276,0.76324,0.77717,0.4474,0.86236,0.00180153,0.00180153,0.00180153
4,1395.96,0.87162,0.4937,0.87758,0.97505,0.96639,0.98555,0.77503,0.75011,0.39792,0.8618,0.001703,0.001703,0.001703
5,1733.74,0.83959,0.46494,0.87148,0.9699,0.97467,0.98708,0.77984,0.73361,0.38546,0.85355,0.001604,0.001604,0.001604
6,2065.44,0.81737,0.4463,0.86944,0.97878,0.96463,0.98718,0.79025,0.70856,0.38404,0.85113,0.001505,0.001505,0.001505
7,2398.18,0.7981,0.42773,0.86487,0.98175,0.96441,0.98684,0.79522,0.69085,0.35096,0.84835,0.001406,0.001406,0.001406
8,2722.76,0.78757,0.41472,0.86247,0.97961,0.97237,0.987,0.79982,0.68037,0.34129,0.84524,0.001307,0.001307,0.001307
9,3051.95,0.77034,0.40305,0.86032,0.97485,0.9705,0.98807,0.80086,0.67296,0.33185,0.84276,0.001208,0.001208,0.001208
10,3385.07,0.75861,0.39414,0.85656,0.9796,0.96848,0.98858,0.80454,0.66415,0.32252,0.84041,0.001109,0.001109,0.001109
11,3712.38,0.7304,0.36959,0.85858,0.97823,0.97317,0.98717,0.80683,0.67195,0.327,0.84369,0.00101,0.00101,0.00101
12,4039.76,0.71634,0.35846,0.85455,0.98514,0.9654,0.98972,0.80804,0.65978,0.31554,0.84177,0.000911,0.000911,0.000911
13,4360.51,0.70759,0.34681,0.85347,0.98027,0.96938,0.98857,0.80707,0.65775,0.30858,0.8396,0.000812,0.000812,0.000812
14,4676.13,0.69851,0.34079,0.85215,0.98225,0.9711,0.98817,0.81551,0.64373,0.30214,0.83642,0.000713,0.000713,0.000713
15,4988.63,0.6914,0.33148,0.84891,0.98151,0.97113,0.98843,0.81476,0.6431,0.29637,0.83708,0.000614,0.000614,0.000614
16,5303.59,0.68295,0.32355,0.84556,0.98118,0.97423,0.98891,0.8155,0.64304,0.29077,0.83665,0.000515,0.000515,0.000515
17,5614.5,0.67279,0.31279,0.84323,0.97797,0.97793,0.98853,0.81664,0.636,0.28638,0.83603,0.000416,0.000416,0.000416
18,5927.98,0.66446,0.30576,0.84381,0.97748,0.97249,0.98864,0.82037,0.6369,0.28264,0.83515,0.000317,0.000317,0.000317
19,6237.53,0.65306,0.29619,0.84147,0.98225,0.97116,0.98895,0.81715,0.63993,0.27835,0.83499,0.000218,0.000218,0.000218
20,6547.85,0.64666,0.28762,0.83932,0.98245,0.97162,0.98922,0.81888,0.63306,0.27488,0.83443,0.000119,0.000119,0.000119
